"sequencial","dataadmissao","transferido","codigoatleta","codigoclube"
14862,2015-06-14,false,18495,12
14863,2015-06-14,false,18496,12
14864,2015-06-14,false,18497,12
14865,2015-06-14,false,18498,12
14866,2015-06-14,false,18499,12
14867,2015-06-14,false,18500,12
14868,2015-06-18,false,18501,18
14869,2015-06-18,false,18502,18
14870,2015-06-18,false,18503,18
14871,2015-06-18,false,18504,18
14872,2015-06-18,false,18505,18
14873,2015-06-18,false,18506,18
14874,2015-06-18,false,18507,18
14875,2015-06-18,false,18508,18
14876,2015-06-18,false,18509,18
14877,2015-06-14,false,18511,28
14878,2015-06-14,false,18512,28
14879,2015-06-14,false,18513,28
14880,2015-06-14,false,18515,28
14881,2015-06-14,false,18516,28
14882,2015-06-14,false,18517,28
14883,2015-06-14,false,18518,28
14884,2015-06-14,false,18519,28
14885,2015-06-14,false,18520,28
14886,2015-06-14,false,18521,28
14887,2015-06-14,false,18522,28
14888,2015-06-14,false,18523,28
14889,2015-06-14,false,18525,28
14890,2015-06-14,false,18527,28
14891,2015-06-20,false,18528,44
14892,2015-06-20,false,18529,44
14893,2015-06-20,false,18530,44
14894,2015-06-20,false,18531,44
14895,2015-06-20,false,18532,44
14896,2015-06-20,false,18533,44
14897,2015-06-20,false,18534,44
14898,2015-06-20,false,18535,44
14899,2015-06-20,false,18536,44
14900,2015-06-20,false,18537,44
14901,2015-06-20,false,18538,44
14902,2015-06-20,false,18539,44
14903,2015-06-20,false,18540,44
14904,2015-06-20,false,18541,44
14905,2015-06-20,false,18542,44
14906,2015-06-20,false,18543,44
14907,2015-06-20,false,18544,44
14908,2015-06-21,false,18545,43
14909,2015-06-21,false,18546,43
14910,2015-06-21,false,18547,43
14911,2015-06-21,false,18548,43
14912,2015-06-21,false,18549,43
19006,2019-02-10,false,23055,26
14914,2015-06-21,false,18551,43
14915,2015-06-21,false,18552,43
14916,2015-06-21,false,18553,43
14917,2015-06-21,false,18554,43
14918,2015-06-21,false,18555,43
14919,2015-06-21,false,18556,26
14920,2015-06-21,false,18557,26
14921,2015-06-21,false,18558,26
14922,2015-06-21,false,18559,26
14923,2015-06-21,false,18560,26
14924,2015-06-21,false,18561,26
14925,2015-06-21,false,18562,26
14926,2015-06-21,false,18563,26
14927,2015-06-21,false,18564,26
14928,2015-06-21,false,18565,26
14929,2015-06-21,false,18566,26
14930,2015-12-06,false,18567,26
14931,2015-06-21,false,18568,26
14932,2015-06-21,false,18569,26
14933,2015-06-21,false,18570,26
14934,2015-06-21,false,18571,26
14935,2015-06-21,false,18572,26
14936,2015-06-21,false,18573,26
14937,1900-01-01,false,18574,26
14938,2015-06-21,false,18576,26
14939,2015-06-21,false,18577,26
14940,2015-06-21,false,18578,26
14941,2015-06-21,false,18579,26
14942,2015-06-21,false,18580,26
14943,2015-06-21,false,18581,26
14944,2015-06-21,false,18582,26
14945,2015-06-21,false,18585,26
14946,2015-06-21,false,18587,39
14947,2015-06-21,false,18588,39
14948,2015-06-28,false,18589,23
14949,2015-06-28,false,18590,23
14950,2015-06-28,false,18591,23
14951,2015-06-28,false,18592,23
14952,2015-06-28,false,18593,23
14953,2015-06-28,false,18594,23
14954,2015-06-28,false,18595,23
14955,2015-06-28,false,18597,23
14956,2015-06-28,false,18598,23
14957,2015-06-28,false,18599,23
14958,2015-06-28,false,18600,23
14959,2015-06-28,false,18601,23
14960,2015-06-28,false,18602,23
14961,2015-06-28,false,18603,27
14962,2015-06-28,false,18604,27
14963,2015-06-28,false,18605,27
14964,2015-06-28,false,18606,27
14965,2015-06-28,false,18607,27
14966,2015-06-28,false,18608,27
14967,2015-06-28,false,18609,27
14968,2015-06-28,false,18611,27
14969,2015-06-28,false,18613,27
14970,2015-07-26,false,18614,22
14971,2015-07-26,false,18615,22
