"codigoclube","abreviatura","classificacao","cnpj","datafundacao","diretortecnico","email","bairro","cep","cidade","complemento","estado","logradouro","numero","uf","nomeclube","presidente","responsavel","telefone","diamensalidade","codigosuperior","men_debito_1av","men_debito_2av","men_debito_3av","valor_mensalidade_clube","valor_anuidade_atleta","ccusto_atleta","ccusto_clube","conta_atleta","conta_clube","mascara_conta","cta_des_desconto","cta_des_juros","cta_des_multa","cta_rec_desconto","cta_rec_juros","cta_rec_multa","logo","cod_municipio"
4,SHOTOKAN,CLUBE_PRINCIPAL,"16298937000125",1991-06-27,"","",CENTRO,"00000000","2911857","","","TRAVESSA LEOPOLDINO PEREIRA,  N 01","","",ASSOCIAÇÃO DE KARATE SHOTOKAN,"",JOSÉ AUGUSTO BATISTA CABRAL,"",0,2,"","","",0.0,0.0,,,0,0,"0.0.0.00.0000",0,0,0,0,0,0,"",""
1,CBKT,CONFEDERACAO,"04497503000175",1900-01-01,"12064025553",secretaria@cbkt.org.br,ARMAÇÃO,"41750180","2927408",.,"",RUA GRANJA MARAZUL,.,"",CONFEDERAÇÃO BRASILEIRA DE KARATÊ-DÔ TRADICIONAL,"19585713500",SÉRGIO BASTOS,"71981554563",0,0,<p>Até a presente data não acusamos o recebimento da sua contribuição ora relacionada abaixo.</p>,<p>Até a presente data não acusamos o recebimento da sua(s) contribuição(ões) ora relacionada abaixo.</p>,<p>Até a presente data não acusamos o recebimento da sua contribuição ora relacionada abaixo.</p>,0.0,0.0,0,0,0,0,"0.0.0.00.000",0,0,0,0,0,0,"",""
2,FKTB,FEDERACAO,"16297830000162",1988-02-20,"91815703504",contato@fktb.org,CENTRO,"40020160","2927408","EDF PALÁCIO DOS ESPORTE, TÉRREO - SALA 2","",PRAÇA CASTRO ALVES,SN,"",FEDERAÇÃO DE KARATÊ-DÔ TRADICIONAL DA BAHIA,"48709360549",ELIAS CARVALHO FILHO,"7133222155",0,1,<p>Até a presente data não acusamos o recebimento da sua contribuição ora relacionada abaixo.</p>,<p>Até a presente data não acusamos o recebimento da sua(s) contribuição(ões) ora relacionada abaixo.</p>,<p>Até a presente data não acusamos o recebimento da sua contribuição ora relacionada abaixo.</p>,100.0,50.0,1,1,133,133,"0.0.0.00.000",0,0,0,0,0,0,"",""
5,ESPARTA,CLUBE_PRINCIPAL,"13501341000192",2000-12-31,"","",Piatã,"00000000","2927408","","",João de Souza Rêgo nº 8,"","",ASSOCIAÇÃO DESPORTIVA ESPARTA,"",Eckner de P. Cardoso Sobrinho,"",0,2,"","","",0.0,0.0,,,0,0,"0.0.0.00.0000",0,0,0,0,0,0,"",""
10,KARATE DE SALVADOR,CLUBE_PRINCIPAL,"13323290000156",1981-07-24,"",zekarate1@gmail.com,BOCA DO RIO,"41710090","2927408","","",RUA PEDRO BATISTA DE ALMEIDA,"03","",CLUBE KARATE DE SALVADOR,"",JOSE ALVES DOS SANTOS,"7132410426",0,2,"","","",0.0,0.0,,,0,0,"0.0.0.00.0000",0,0,0,0,0,0,"",""
11,FUNAKOSHI,CLUBE_PRINCIPAL,"05159681000159",2002-07-22,"",D.NAILSON.M@BOL.COM.BR,CENTRO,"48450000","2907905",GRANDE HOTEL,"",PRACA JURACY MAGALHAES,SN,"",ASSOCIAÇÃO DE KARATE SPORT CENTER FUNAKOSHI,""," NAILSON FERREIRA SANTOS, FAIXA PRETA 2° DAN","75998040473",0,2,"","","",0.0,0.0,,,0,0,"0.0.0.00.0000",0,0,0,0,0,0,"",""
13,MADREDEUSENSE,CLUBE_PRINCIPAL,"59762237000126",2003-08-12,"",amdk@oi.com.br,CENTRO,"00000000","2919926","","",JERUSALEM Nº85,"","",ASSOCIAÇÃO MADREDEUSENSE DE KARATÊ,"","","91990574",0,2,"","","",0.0,0.0,,,0,0,"0.0.0.00.0000",0,0,0,0,0,0,"",""
14,DA BAHIA,CLUBE_PRINCIPAL,"14644983000103",2004-06-13,"",aragao-35@hotmail.com,GARCIA,"00000000","2927408","","",AV.LEOVIGILDO FIGUEIRAS Nº462,"","",ASSOCIAÇÃO DESPORTIVA DA BAHIA,"","","33284126",0,2,"","","",0.0,0.0,,,0,0,"0.0.0.00.0000",0,0,0,0,0,0,"",""
15,ZANCHIN,CLUBE_PRINCIPAL,"01061628000160",1998-08-30,"",zenasazaka@yahoo.com.br,CENTRO,"48110000","2907509","","",R AMBROSIO BATISTA,"80","",ASSOCIAÇÃO ZANCHIN DE KARATE-DO,"",ZENAS DA SILVA SILVEIRA,"71999419248",0,2,"","","",0.0,0.0,,,0,0,"0.0.0.00.0000",0,0,0,0,0,0,"",""
16,DE ARTES M. DE CRUZ ,CLUBE_PRINCIPAL,"13063543000184",1994-07-12,"",assamaca@hotmail.com,CENTRO,"00000000","2909802","","","RUA MANOEL VELABOIN, 200","","",ASSOCIAÇÃO DE ARTES M. DE CRUZ DAS ALMAS,"","","75 36211465",0,2,"","","",0.0,0.0,,,0,0,"0.0.0.00.0000",0,0,0,0,0,0,"",""
